country,year_month,protest_count,protest_any,violence_count,violence_any,fatalities,protest_days,violence_any_t1,violence_count_t1,escalation,protest_count_t_1,protest_growth,recent_violence,year,protest_count_dm,protest_growth_dm,recent_violence_dm,protest_count_t_2,protest_acceleration,democracy_index,inflation,gdp_growth,unemployment,inflation_lag1,gdp_growth_lag1,unemployment_lag1,gini,escalation_transition,escalation_spike,gdp_growth_lag1_missing,inflation_lag1_missing,unemployment_lag1_missing,democracy_index_dm,protest_acceleration_dm,gdp_growth_lag1_dm,inflation_lag1_dm,unemployment_lag1_dm,risk,actual,risk_bin
Colombia,2024-01,92,1,191,1,148,23,1.0,146.0,1,104.0,-12.0,1,2024,-5.25454545454545,-12.836363636363636,0.0,147.0,31.0,6.35,6.60908593728228,1.5983315366523,9.619,11.7359044948689,0.712380031974334,9.591,,0,0,0,0,0,-0.5074545454545465,32.92727272727273,-2.6103712015403655,7.146620088281622,-2.641054545454546,0.5734029695334563,0,"(0.546, 0.621]"
Colombia,2024-02,142,1,146,1,117,27,1.0,144.0,1,92.0,50.0,1,2024,44.74545454545455,49.163636363636364,0.0,104.0,62.0,6.35,6.60908593728228,1.5983315366523,9.619,6.60908593728228,1.5983315366523,9.619,,0,0,0,0,0,-0.5074545454545465,63.92727272727273,-1.7244196968623993,2.019801530695003,-2.6130545454545455,0.5111228456141248,0,"(0.509, 0.525]"
Colombia,2024-03,147,1,144,1,105,28,1.0,133.0,1,142.0,5.0,1,2024,49.74545454545455,4.163636363636364,0.0,92.0,-45.0,6.35,6.60908593728228,1.5983315366523,9.619,6.60908593728228,1.5983315366523,9.619,,0,0,0,0,0,-0.5074545454545465,-43.07272727272727,-1.7244196968623993,2.019801530695003,-2.6130545454545455,0.4941206783021509,0,"(0.492, 0.509]"
Colombia,2024-04,219,1,133,1,67,29,1.0,119.0,1,147.0,72.0,1,2024,121.74545454545455,71.16363636363636,0.0,142.0,67.0,6.35,6.60908593728228,1.5983315366523,9.619,6.60908593728228,1.5983315366523,9.619,,0,0,0,0,0,-0.5074545454545465,68.92727272727272,-1.7244196968623993,2.019801530695003,-2.6130545454545455,0.44072494919780897,0,"(0.416, 0.478]"
Colombia,2024-05,159,1,119,1,76,29,1.0,116.0,1,219.0,-60.0,1,2024,61.74545454545455,-60.836363636363636,0.0,147.0,-132.0,6.35,6.60908593728228,1.5983315366523,9.619,6.60908593728228,1.5983315366523,9.619,,0,0,0,0,0,-0.5074545454545465,-130.07272727272726,-1.7244196968623993,2.019801530695003,-2.6130545454545455,0.4630450084393484,0,"(0.416, 0.478]"
Colombia,2024-06,123,1,116,1,100,26,1.0,103.0,1,159.0,-36.0,1,2024,25.74545454545455,-36.836363636363636,0.0,219.0,24.0,6.35,6.60908593728228,1.5983315366523,9.619,6.60908593728228,1.5983315366523,9.619,,0,0,0,0,0,-0.5074545454545465,25.927272727272726,-1.7244196968623993,2.019801530695003,-2.6130545454545455,0.5031340140524688,0,"(0.492, 0.509]"
Colombia,2024-07,134,1,103,1,59,29,1.0,148.0,1,123.0,11.0,1,2024,36.74545454545455,10.163636363636364,0.0,159.0,47.0,6.35,6.60908593728228,1.5983315366523,9.619,6.60908593728228,1.5983315366523,9.619,,0,0,0,0,0,-0.5074545454545465,48.92727272727273,-1.7244196968623993,2.019801530695003,-2.6130545454545455,0.5068202313659241,0,"(0.492, 0.509]"
Colombia,2024-08,119,1,148,1,116,24,1.0,126.0,1,134.0,-15.0,1,2024,21.74545454545455,-15.836363636363636,0.0,123.0,-26.0,6.35,6.60908593728228,1.5983315366523,9.619,6.60908593728228,1.5983315366523,9.619,,0,0,0,0,0,-0.5074545454545465,-24.072727272727274,-1.7244196968623993,2.019801530695003,-2.6130545454545455,0.5153460217685558,0,"(0.509, 0.525]"
Colombia,2024-09,279,1,126,1,79,26,1.0,142.0,1,119.0,160.0,1,2024,181.74545454545455,159.16363636363636,0.0,134.0,175.0,6.35,6.60908593728228,1.5983315366523,9.619,6.60908593728228,1.5983315366523,9.619,,0,0,0,0,0,-0.5074545454545465,176.92727272727274,-1.7244196968623993,2.019801530695003,-2.6130545454545455,0.40696506050667003,0,"(0.23, 0.416]"
Colombia,2024-10,168,1,142,1,107,28,1.0,126.0,1,279.0,-111.0,1,2024,70.74545454545455,-111.83636363636364,0.0,119.0,-271.0,6.35,6.60908593728228,1.5983315366523,9.619,6.60908593728228,1.5983315366523,9.619,,0,0,0,0,0,-0.5074545454545465,-269.07272727272726,-1.7244196968623993,2.019801530695003,-2.6130545454545455,0.44107615480792983,0,"(0.416, 0.478]"
Colombia,2024-11,128,1,126,1,99,29,1.0,110.0,1,168.0,-40.0,1,2024,30.74545454545455,-40.836363636363636,0.0,279.0,71.0,6.35,6.60908593728228,1.5983315366523,9.619,6.60908593728228,1.5983315366523,9.619,,0,0,0,0,0,-0.5074545454545465,72.92727272727272,-1.7244196968623993,2.019801530695003,-2.6130545454545455,0.49555307553732747,0,"(0.492, 0.509]"
Colombia,2024-12,84,1,110,1,98,25,1.0,129.0,1,128.0,-44.0,1,2024,-13.25454545454545,-44.836363636363636,0.0,168.0,-4.0,6.35,6.60908593728228,1.5983315366523,9.619,6.60908593728228,1.5983315366523,9.619,,0,0,0,0,0,-0.5074545454545465,-2.0727272727272728,-1.7244196968623993,2.019801530695003,-2.6130545454545455,0.540535237465876,0,"(0.531, 0.546]"
Costa Rica,2024-01,6,1,2,1,0,5,1.0,1.0,1,5.0,1.0,1,2024,-20.137931034482758,1.396551724137931,0.12068965517241381,6.0,2.0,8.29,-0.412853001047069,4.32122429646145,6.936,0.525193508693455,5.11192183224598,8.325,45.8,0,0,0,0,0,0.14344827586206854,2.3620689655172415,2.494673643548662,-2.4062549272296154,-4.2995,0.4935422827965522,0,"(0.492, 0.509]"
Costa Rica,2024-02,20,1,1,1,1,12,1.0,2.0,1,6.0,14.0,1,2024,-6.137931034482758,14.39655172413793,0.12068965517241381,5.0,13.0,8.29,-0.412853001047069,4.32122429646145,6.936,-0.412853001047069,4.32122429646145,6.936,45.8,0,1,0,0,0,0.14344827586206854,13.362068965517242,1.7039761077641318,-3.34430143697014,-5.6884999999999994,0.48626698252174183,1,"(0.478, 0.492]"
Costa Rica,2024-03,21,1,2,1,1,16,1.0,9.0,1,20.0,1.0,1,2024,-5.137931034482758,1.396551724137931,0.12068965517241381,6.0,-13.0,8.29,-0.412853001047069,4.32122429646145,6.936,-0.412853001047069,4.32122429646145,6.936,45.8,0,1,0,0,0,0.14344827586206854,-12.637931034482758,1.7039761077641318,-3.34430143697014,-5.6884999999999994,0.4816804886820805,1,"(0.478, 0.492]"
Costa Rica,2024-04,33,1,9,1,1,11,1.0,3.0,1,21.0,12.0,1,2024,6.862068965517242,12.39655172413793,0.12068965517241381,20.0,11.0,8.29,-0.412853001047069,4.32122429646145,6.936,-0.412853001047069,4.32122429646145,6.936,45.8,0,0,0,0,0,0.14344827586206854,11.362068965517242,1.7039761077641318,-3.34430143697014,-5.6884999999999994,0.472560702087306,0,"(0.416, 0.478]"
Costa Rica,2024-05,23,1,3,1,1,14,1.0,2.0,1,33.0,-10.0,1,2024,-3.137931034482758,-9.60344827586207,0.12068965517241381,21.0,-22.0,8.29,-0.412853001047069,4.32122429646145,6.936,-0.412853001047069,4.32122429646145,6.936,45.8,0,0,0,0,0,0.14344827586206854,-21.637931034482758,1.7039761077641318,-3.34430143697014,-5.6884999999999994,0.4763019745899329,0,"(0.416, 0.478]"
Costa Rica,2024-06,5,1,2,1,0,5,0.0,0.0,0,23.0,-18.0,1,2024,-21.137931034482758,-17.603448275862068,0.12068965517241381,33.0,-8.0,8.29,-0.412853001047069,4.32122429646145,6.936,-0.412853001047069,4.32122429646145,6.936,45.8,0,0,0,0,0,0.14344827586206854,-7.637931034482759,1.7039761077641318,-3.34430143697014,-5.6884999999999994,0.4914774472709439,0,"(0.478, 0.492]"
Costa Rica,2024-07,19,1,0,0,0,15,1.0,2.0,1,5.0,14.0,1,2024,-7.137931034482758,14.39655172413793,0.12068965517241381,23.0,32.0,8.29,-0.412853001047069,4.32122429646145,6.936,-0.412853001047069,4.32122429646145,6.936,45.8,1,1,0,0,0,0.14344827586206854,32.36206896551724,1.7039761077641318,-3.34430143697014,-5.6884999999999994,0.48678237372997857,1,"(0.478, 0.492]"
Costa Rica,2024-08,32,1,2,1,1,11,1.0,2.0,1,19.0,13.0,1,2024,5.862068965517242,13.39655172413793,0.12068965517241381,5.0,-1.0,8.29,-0.412853001047069,4.32122429646145,6.936,-0.412853001047069,4.32122429646145,6.936,45.8,0,0,0,0,0,0.14344827586206854,-0.6379310344827587,1.7039761077641318,-3.34430143697014,-5.6884999999999994,0.474205350808425,0,"(0.416, 0.478]"
Costa Rica,2024-09,14,1,2,1,0,10,1.0,2.0,1,32.0,-18.0,1,2024,-12.137931034482758,-17.603448275862068,0.12068965517241381,19.0,-31.0,8.29,-0.412853001047069,4.32122429646145,6.936,-0.412853001047069,4.32122429646145,6.936,45.8,0,0,0,0,0,0.14344827586206854,-30.637931034482758,1.7039761077641318,-3.34430143697014,-5.6884999999999994,0.4829930104061323,0,"(0.478, 0.492]"
Costa Rica,2024-10,15,1,2,1,1,8,0.0,0.0,0,14.0,1.0,1,2024,-11.137931034482758,1.396551724137931,0.12068965517241381,32.0,19.0,8.29,-0.412853001047069,4.32122429646145,6.936,-0.412853001047069,4.32122429646145,6.936,45.8,0,0,0,0,0,0.14344827586206854,19.362068965517242,1.7039761077641318,-3.34430143697014,-5.6884999999999994,0.48690203325858933,0,"(0.478, 0.492]"
Costa Rica,2024-11,9,1,0,0,0,7,1.0,2.0,1,15.0,-6.0,1,2024,-17.137931034482758,-5.603448275862069,0.12068965517241381,14.0,-7.0,8.29,-0.412853001047069,4.32122429646145,6.936,-0.412853001047069,4.32122429646145,6.936,45.8,1,1,0,0,0,0.14344827586206854,-6.637931034482759,1.7039761077641318,-3.34430143697014,-5.6884999999999994,0.49134226831001304,1,"(0.478, 0.492]"
Costa Rica,2024-12,6,1,2,1,3,6,1.0,1.0,1,9.0,-3.0,1,2024,-20.137931034482758,-2.603448275862069,0.12068965517241381,15.0,3.0,8.29,-0.412853001047069,4.32122429646145,6.936,-0.412853001047069,4.32122429646145,6.936,45.8,0,0,0,0,0,0.14344827586206854,3.3620689655172415,1.7039761077641318,-3.34430143697014,-5.6884999999999994,0.49509344530838806,0,"(0.492, 0.509]"
Ecuador,2024-01,23,1,147,1,102,15,1.0,113.0,1,31.0,-8.0,1,2024,-20.36206896551724,-8.241379310344827,0.0,31.0,-8.0,5.24,1.54732515615369,-2.00125476341026,3.453,2.21568764237058,1.98823813984235,3.51,45.2,0,0,0,0,0,-0.7775862068965509,-8.172413793103448,0.6064051869294793,1.588318170898472,-0.8496034482758619,0.5490373888643564,0,"(0.546, 0.621]"
Ecuador,2024-02,19,1,113,1,99,9,1.0,146.0,1,23.0,-4.0,1,2024,-24.36206896551724,-4.241379310344827,0.0,31.0,4.0,5.24,1.54732515615369,-2.00125476341026,3.453,1.54732515615369,-2.00125476341026,3.453,45.2,0,0,0,0,0,-0.7775862068965509,3.8275862068965516,-3.383087716323131,0.9199556846815822,-0.9066034482758618,0.5614584220652364,0,"(0.546, 0.621]"
Ecuador,2024-03,35,1,146,1,155,16,1.0,127.0,1,19.0,16.0,1,2024,-8.362068965517238,15.758620689655173,0.0,23.0,20.0,5.24,1.54732515615369,-2.00125476341026,3.453,1.54732515615369,-2.00125476341026,3.453,45.2,0,0,0,0,0,-0.7775862068965509,19.82758620689655,-3.383087716323131,0.9199556846815822,-0.9066034482758618,0.5515639209510237,0,"(0.546, 0.621]"
Ecuador,2024-04,47,1,127,1,145,18,1.0,193.0,1,35.0,12.0,1,2024,3.6379310344827616,11.758620689655173,0.0,19.0,-4.0,5.24,1.54732515615369,-2.00125476341026,3.453,1.54732515615369,-2.00125476341026,3.453,45.2,0,1,0,0,0,-0.7775862068965509,-4.172413793103448,-3.383087716323131,0.9199556846815822,-0.9066034482758618,0.5388657574466433,1,"(0.531, 0.546]"
Ecuador,2024-05,54,1,193,1,223,20,1.0,186.0,1,47.0,7.0,1,2024,10.637931034482762,6.758620689655173,0.0,35.0,-5.0,5.24,1.54732515615369,-2.00125476341026,3.453,1.54732515615369,-2.00125476341026,3.453,45.2,0,0,0,0,0,-0.7775862068965509,-5.172413793103448,-3.383087716323131,0.9199556846815822,-0.9066034482758618,0.5302273062619968,0,"(0.525, 0.531]"
Ecuador,2024-06,34,1,186,1,218,19,1.0,198.0,1,54.0,-20.0,1,2024,-9.362068965517238,-20.24137931034483,0.0,47.0,-27.0,5.24,1.54732515615369,-2.00125476341026,3.453,1.54732515615369,-2.00125476341026,3.453,45.2,0,0,0,0,0,-0.7775862068965509,-27.17241379310345,-3.383087716323131,0.9199556846815822,-0.9066034482758618,0.542089969317001,0,"(0.531, 0.546]"
